Month,Domestic Enplaned Passengers: Revenue,Domestic Deplaned Passengers: Revenue,International Enplaned Passengers: Revenue,International Deplaned Passengers: Revenue,Domestic Enplaned Passengers: Non-Revenue,Domestic Deplaned Passengers: Non-Revenue,International Enplaned Passengers: Non-Revenue,International Deplaned Passengers: Non-Revenue,International Enplaned Pre-Cleared Passengers: Revenue,International Deplaned Pre-Cleared Passengers: Revenue,International Enplaned Pre-Cleared Passengers: Non-Revenue,International Deplaned Pre-Cleared Passengers: Non-Revenue,South Terminal Domestic Enplaned Revenue,South Terminal Domestic Deplaned Revenue,South Terminal Domestic Enplaned Non-Revenue,South Terminal Domestic Deplaned Non-Revenue,Total Passengers,Air Carrier Operations,Commuter and Air Taxi Operations,Military Operations,General Aviation:  Itinerant Operations,General Aviation: Local Operations,General Aviation: Total Operations,Total Operations,Domestic Enplaned Mail,Domestic Deplaned Mail,International Enplaned Mail,International Deplaned Mail,South Terminal-Intl Enplaned Mail,South Terminal-Intl Deplaned Mail,Mail Totals,Domestic Enplaned Cargo,Domestic Deplaned Cargo,International Enplaned Cargo,International Deplaned Cargo,South Terminal-Intl Enplaned Cargo,South Terminal-Intl Deplaned Cargo,Cargo Totals,Domestic Enplaned Belly Freight,Domestic Deplaned Belly Freight,International Enplaned Belly Freight,International Deplaned Belly Freight,South Terminal-Intl Enplaned Belly Freight,South Terminal-Intl Deplaned Belly Freight,Belly Freight Totals,Cargo Totals (Cargo + Mail + Belly Freight),Landing Totals,Weight Totals
10/01/2018 12:00:00 AM,674367,680722,13678,14304,14099,13470,104,103,2198,2583,24,13,9432,9645,8,6,1434756,10733,1556,847,4637,160,4797,17933,175874,487638,0,0,0,0,663512,5103867,8028934,1794895,1166504,0,0,16094200,277541,539812,279180,822596,0,0,1919129,18676841,6078,846310860
09/01/2018 12:00:00 AM,584974,592853,14350,15007,13383,12784,88,87,1717,1983,29,27,6251,6228,8,8,1249777,11128,1555,679,3466,34,3500,16862,244037,390422,0,0,0,0,634459,4796176,6919186,442983,91384,0,0,12249729,303695,503569,283732,560784,0,0,1651780,14535968,5737,790731351
08/01/2018 12:00:00 AM,644973,670876,17250,20627,16861,16009,158,155,1839,2190,33,35,11614,11346,7,10,1413983,12074,1385,911,4162,222,4384,18754,213274,452728,0,0,0,0,666002,5411559,7337408,222411,94620,0,0,13065998,326771,530594,304185,602269,0,0,1763819,15495819,6245,861046997
07/01/2018 12:00:00 AM,687726,688887,25814,29569,18634,17983,141,131,1812,2381,29,54,19534,18902,17,20,1511634,12335,1216,1011,3864,166,4030,18592,196364,449402,0,0,0,0,645766,4591035,6424122,550459,148608,0,0,11714224,303562,487066,161724,611843,0,0,1564195,13924185,6346,869502671
06/01/2018 12:00:00 AM,699111,667742,26530,23016,16825,16550,129,124,2328,2078,49,51,16866,17782,1,9,1489191,12050,1350,962,4025,68,4093,18455,219943,417448,0,0,0,0,637391,5020388,6639447,530292,102356,0,0,12292483,356817,517087,304656,573223,0,0,1753783,14683657,6211,852438818
05/01/2018 12:00:00 AM,666204,646153,19766,17074,15139,14409,136,120,2157,1964,34,33,15445,15601,2,6,1414243,11847,1591,1161,4381,144,4525,19124,231359,438669,0,0,0,0,670028,5212877,7124891,960165,169377,0,0,13467310,406697,647897,279607,521389,0,0,1855590,15992928,6117,831431763
04/01/2018 12:00:00 AM,628631,604324,16659,15307,13526,13212,119,78,1900,1862,38,35,15004,14243,0,0,1324938,11295,1385,1119,4221,124,4345,18144,207257,441990,0,0,0,0,649247,4564190,6475930,910433,949085,0,0,12899638,327479,521126,264616,502965,0,0,1616186,15165071,5797,793367736
03/01/2018 12:00:00 AM,594917,620153,13757,14748,13993,12884,151,152,1967,2015,24,32,15779,16208,3,3,1306788,10949,1706,832,4532,264,4616,18103,198668,387955,0,0,0,0,586623,5485713,7440235,489217,233705,0,0,13648870,186032,392994,324892,652476,0,0,1556394,15791887,5643,760648260
02/01/2018 12:00:00 AM,470066,469055,9003,9682,12387,11977,128,68,1466,1669,21,19,11264,11241,3,3,1008052,9133,1400,361,3088,104,3192,14086,205270,368360,0,0,0,0,573630,4622182,6316572,645915,182506,0,0,11767175,214100,408520,309357,697906,0,0,1629883,13970688,4706,637500756
01/01/2018 12:00:00 AM,476037,494185,10100,11818,13098,12326,97,50,1491,1680,26,19,10532,11362,6,7,1042834,9847,1290,694,3657,61,3718,15549,110527,412719,0,0,0,0,523246,4673090,6895128,499022,154191,0,0,12221431,299856,387709,223412,483758,0,0,1394735,14139412,5086,688923110
12/01/2017 12:00:00 AM,571768,541042,12014,10873,13395,12809,99,96,1729,1802,17,29,12848,11985,3,4,1190513,10608,1311,557,3356,124,3480,15956,235378,469510,0,0,0,0,704888,5102655,7289487,693009,284869,0,0,13370020,303970,473280,321862,740648,0,0,1839760,15914668,5442,737424963
11/01/2017 12:00:00 AM,577478,576322,11009,10710,12821,12387,107,70,1675,1886,29,28,1327,1227,2,3,1207081,10335,1453,640,3968,94,4062,16490,189279,455429,0,0,0,0,644708,4772097,7041824,584783,299440,0,0,12698144,298757,478798,535071,845513,0,0,2158139,15500991,5289,718179948
10/01/2017 12:00:00 AM,594146,599364,8537,8849,13524,12999,88,84,1867,1985,29,20,13699,13944,9,9,1269153,10733,1556,847,4637,160,4797,17933,179032,423942,0,0,0,0,602974,4794379,7229839,2039517,950066,0,0,15013801,331870,525235,466213,796697,0,0,2120015,17736790,5448,743973610
