tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2,tbl1apk
Table 1a,2014,1,30423,31453,"Austin, TX","Houston, TX",10423,12191,AUS,HOU,148,12467,167.09,WN,1.0,167.09,WN,1.0,167.09,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",201411042312191AUSHOU
Table 1a,2011,4,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,14307,AUS,PVD,1698,5824,257.67,WN,0.44,273.72,DL,0.2,208.96,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",201141042314307AUSPVD
Table 1a,2009,3,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,13303,AUS,MIA,1105,4914,179.24,AA,0.5,193.25,CO,0.29,163.62,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",200931042313303AUSMIA
Table 1a,2009,4,30423,30977,"Austin, TX","Chicago, IL",10423,13232,AUS,MDW,978,20657,176.66,WN,0.96,176.15,WN,0.96,176.15,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)",200941042313232AUSMDW
Table 1a,2011,3,30423,31453,"Austin, TX","Houston, TX",10423,12191,AUS,HOU,148,15652,162.06,WN,1.0,162.06,WN,1.0,162.06,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",201131042312191AUSHOU
Table 1a,2014,4,30423,31453,"Austin, TX","Houston, TX",10423,12266,AUS,IAH,148,9828,200.37,UA,1.0,200.37,UA,1.0,200.37,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",201441042312266AUSIAH
Table 1a,2011,3,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,13303,AUS,MIA,1105,6734,239.72,AA,0.54,256.79,DL,0.16,206.87,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",201131042313303AUSMIA
Table 1a,2008,2,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,13303,AUS,MIA,1105,7462,245.67,AA,0.5,246.13,DL,0.1,238.89,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",200821042313303AUSMIA
Table 1a,2014,2,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12197,AUS,HPN,1559,1729,288.33,DL,0.53,277.75,B6,0.1,256.08,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201421042312197AUSHPN
Table 1a,2012,2,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",10423,12953,AUS,LGA,1559,36764,240.66,AA,0.62,236.88,AA,0.62,236.88,"Austin, TX
(30.264979, -97.746598)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",201221042312953AUSLGA
Table 1a,2009,4,30423,30721,"Austin, TX","Boston, MA (Metropolitan Area)",10423,14307,AUS,PVD,1698,5460,214.28,WN,0.51,221.73,WN,0.51,221.73,"Austin, TX
(30.264979, -97.746598)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",200941042314307AUSPVD
Table 1a,2012,4,30423,31453,"Austin, TX","Houston, TX",10423,12266,AUS,IAH,148,9828,169.03,UA,1.0,169.03,UA,1.0,169.03,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",201241042312266AUSIAH
Table 1a,2012,1,30423,32467,"Austin, TX","Miami, FL (Metropolitan Area)",10423,11697,AUS,FLL,1105,33124,183.05,WN,0.44,177.9,B6,0.36,169.13,"Austin, TX
(30.264979, -97.746598)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",201211042311697AUSFLL
Table 1a,2012,3,30423,33195,"Austin, TX","Tampa, FL (Metropolitan Area)",10423,15304,AUS,TPA,928,18746,193.1,WN,0.51,213.85,DL,0.21,152.47,"Austin, TX
(30.264979, -97.746598)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)",201231042315304AUSTPA
Table 1a,2009,2,30423,30852,"Austin, TX","Washington, DC (Metropolitan Area)",10423,10821,AUS,BWI,1342,47502,167.54,WN,0.71,164.53,WN,0.71,164.53,"Austin, TX
(30.264979, -97.746598)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",200921042310821AUSBWI
Table 1a,2010,2,30423,31453,"Austin, TX","Houston, TX",10423,12266,AUS,IAH,148,12194,139.61,CO,0.95,140.58,UA,0.04,121.1,"Austin, TX
(30.264979, -97.746598)","Houston, TX
(29.760803, -95.369506)",201021042312266AUSIAH
Table 1a,2010,4,30423,32457,"Austin, TX","San Francisco, CA (Metropolitan Area)",10423,13796,AUS,OAK,1504,19383,186.4,WN,0.93,184.46,WN,0.93,184.46,"Austin, TX
(30.264979, -97.746598)","San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",201041042313796AUSOAK
