airport_2,lat,lng
HOU,29.6459141,-95.27689509999999
PVD,41.7245271,-71.4304062
MIA,25.795865,-80.2870457
MDW,41.78677589999999,-87.7521884
IAH,29.9902199,-95.3367827
HPN,41.0683325,-73.7086641
LGA,40.7769271,-73.8739659
FLL,26.0742344,-80.1506022
TPA,27.9834776,-82.5370781
BWI,39.1774042,-76.6683922
OAK,37.09024,-95.712891
DCA,38.851242,-77.04023149999999
JFK,40.6413111,-73.77813909999999
PHX,33.4372686,-112.0077881
SFO,37.6213129,-122.3789554
BUR,34.1983122,-118.3574036
MHT,42.929687,-71.4352177
BOS,42.3656132,-71.0095602
LGB,33.8178169,-118.1524987
ISP,40.7948206,-73.1005837
EWR,40.6895314,-74.1744624
SJC,37.3639472,-121.9289375
SNA,33.6761901,-117.8674759
ORD,41.9741625,-87.9073214
IAD,38.9531162,-77.45653879999999
SWF,41.4984032,-74.1008627
MCI,39.2991181,-94.7107786
ONT,34.0559781,-117.598057
AZA,36.0467549,-95.8163036
DAL,32.8481029,-96.8512063
DFW,32.8998091,-97.0403352
LAX,33.9415889,-118.40853
CAK,40.9153779,-81.4418833
CLE,41.4057985,-81.8538669
PIE,47.6511588,-122.3501198
